iter	Passed	Remaining
708	22443	91515
709	22465	91446
710	22497	91412
711	22519	91344
712	22552	91317
713	22581	91273
714	22609	91228
715	22639	91188
716	22663	91127
717	22694	91094
718	22718	91033
719	22751	91005
720	22775	90942
721	22802	90892
722	22827	90834
723	22852	90776
724	22882	90739
725	22910	90696
726	22944	90673
727	22975	90637
728	23004	90597
729	23037	90572
730	23062	90513
731	23097	90495
732	23124	90447
733	23150	90393
734	23178	90348
735	23204	90294
736	23226	90226
737	23249	90163
738	23272	90098
739	23299	90049
740	23332	90023
741	23355	89959
742	23390	89940
743	23418	89898
744	23449	89863
745	23486	89852
746	23507	89781
747	23539	89751
748	23567	89707
749	23593	89655
750	23623	89617
751	23647	89559
752	23682	89541
753	23702	89465
754	23737	89446
755	23768	89415
756	23794	89361
757	23828	89342
758	23852	89280
759	23884	89251
760	23912	89207
761	23938	89157
762	23968	89121
763	23993	89063
764	24027	89042
765	24057	89007
766	24086	88966
767	24120	88944
768	24146	88894
769	24184	88887
770	24217	88860
771	24241	88803
772	24275	88778
773	24297	88713
774	24329	88686
775	24361	88655
776	24387	88603
777	24421	88583
778	24449	88540
779	24479	88501
780	24505	88451
781	24532	88405
782	24556	88347
783	24579	88284
784	24606	88239
785	24632	88187
786	24666	88165
787	24686	88095
788	24718	88064
789	24741	88002
790	24765	87947
791	24793	87904
792	24822	87863
793	24847	87810
794	24874	87763
795	24896	87699
796	24921	87647
797	24946	87594
798	24971	87539
799	24993	87475
800	25018	87425
801	25046	87380
802	25076	87346
803	25112	87331
804	25142	87294
805	25172	87260
806	25198	87210
807	25222	87154
808	25246	87098
809	25271	87046
810	25307	87032
811	25328	86963
812	25360	86936
813	25393	86912
814	25421	86868
815	25445	86815
816	25468	86753
817	25490	86691
818	25513	86632
819	25549	86620
820	25578	86580
821	25612	86559
822	25647	86541
823	25669	86478
824	25704	86460
825	25736	86430
826	25758	86371
827	25788	86335
828	25814	86286
829	25847	86261
830	25869	86200
831	25898	86161
832	25924	86112
833	25948	86059
834	25968	85993
835	25993	85940
836	26017	85886
837	26039	85824
838	26062	85766
839	26096	85744
840	26121	85695
841	26151	85659
842	26188	85648
843	26220	85621
844	26246	85572
845	26273	85527
846	26297	85473
847	26323	85428
848	26350	85383
849	26379	85344
850	26399	85279
851	26426	85233
852	26452	85186
853	26487	85169
854	26508	85105
855	26542	85084
856	26571	85046
857	26596	84998
858	26626	84963
859	26650	84908
860	26685	84891
861	26723	84882
862	26754	84850
863	26786	84823
864	26812	84777
865	26834	84716
866	26859	84666
867	26885	84621
868	26910	84572
869	26937	84529
870	26959	84469
871	26985	84420
872	27007	84362
873	27034	84319
874	27062	84281
875	27092	84248
876	27125	84222
877	27149	84169
878	27185	84152
879	27221	84138
880	27252	84108
881	27274	84049
882	27300	84005
883	27323	83949
884	27350	83906
885	27379	83867
886	27407	83829
887	27435	83788
888	27459	83738
889	27485	83692
890	27511	83645
891	27535	83594
892	27567	83565
893	27591	83514
894	27616	83465
895	27637	83405
896	27663	83359
897	27684	83300
898	27717	83274
899	27749	83247
900	27778	83213
901	27813	83193
902	27839	83148
903	27869	83115
904	27902	83090
905	27928	83046
906	27960	83018
907	27984	82967
908	28013	82929
909	28041	82891
910	28071	82859
911	28105	82836
912	28124	82772
913	28160	82757
